CMDLINE /home/advice/miniconda3/envs/torch_exp_dataset/bin/python /home/docker/side/torchcsvdataset/test/vaex_test.py
MEM 289.156250 1626410869.9358
MEM 289.156250 1626410870.0468
MEM 289.156250 1626410870.1604
MEM 289.156250 1626410870.2741
MEM 289.156250 1626410870.3865
MEM 289.156250 1626410870.4999
MEM 289.156250 1626410870.6130
MEM 289.156250 1626410870.7267
MEM 289.156250 1626410870.8393
MEM 289.156250 1626410870.9528
MEM 289.156250 1626410871.0662
MEM 289.156250 1626410871.1796
MEM 289.156250 1626410871.2930
MEM 289.156250 1626410871.4044
MEM 289.156250 1626410871.5176
MEM 289.156250 1626410871.6316
MEM 289.156250 1626410871.7469
MEM 289.156250 1626410871.8581
MEM 289.156250 1626410871.9730
MEM 289.156250 1626410872.0877
MEM 289.156250 1626410872.1994
MEM 289.156250 1626410872.3143
MEM 289.156250 1626410872.4259
MEM 289.156250 1626410872.5401
MEM 289.156250 1626410872.6538
MEM 289.156250 1626410872.7693
MEM 289.156250 1626410872.8844
MEM 289.156250 1626410872.9977
MEM 289.156250 1626410873.1121
MEM 289.156250 1626410873.2254
MEM 289.156250 1626410873.3406
MEM 289.156250 1626410873.4549
MEM 289.156250 1626410873.5679
MEM 289.156250 1626410873.6819
MEM 289.156250 1626410873.7970
MEM 289.156250 1626410873.9116
MEM 289.156250 1626410874.0250
MEM 289.156250 1626410874.1385
MEM 289.156250 1626410874.2515
MEM 289.156250 1626410874.3646
MEM 289.156250 1626410874.4766
MEM 289.156250 1626410874.5866
MEM 289.156250 1626410874.7001
MEM 289.156250 1626410874.8135
MEM 289.156250 1626410874.9263
MEM 289.156250 1626410875.0388
MEM 289.156250 1626410875.1520
MEM 289.156250 1626410875.2618
MEM 289.156250 1626410875.3739
MEM 289.156250 1626410875.4874
MEM 289.156250 1626410875.6010
MEM 289.156250 1626410875.7146
MEM 289.156250 1626410875.8267
MEM 289.156250 1626410875.9386
MEM 289.156250 1626410876.0521
MEM 289.156250 1626410876.1656
MEM 289.156250 1626410876.2785
MEM 289.156250 1626410876.3916
MEM 289.156250 1626410876.5050
MEM 289.156250 1626410876.6183
MEM 289.156250 1626410876.7306
MEM 289.156250 1626410876.8426
MEM 289.156250 1626410876.9550
MEM 289.156250 1626410877.0681
MEM 289.218750 1626410877.1811
MEM 289.218750 1626410877.2942
MEM 289.218750 1626410877.4077
MEM 289.218750 1626410877.5213
MEM 289.218750 1626410877.6363
MEM 289.218750 1626410877.7499
MEM 289.218750 1626410877.8638
MEM 289.218750 1626410877.9763
MEM 289.218750 1626410878.0894
MEM 289.218750 1626410878.2043
MEM 289.218750 1626410878.3186
MEM 289.218750 1626410878.4329
MEM 289.218750 1626410878.5471
MEM 289.218750 1626410878.6609
MEM 289.218750 1626410878.7739
MEM 289.218750 1626410878.8859
MEM 289.218750 1626410878.9998
MEM 289.218750 1626410879.1126
MEM 289.218750 1626410879.2265
MEM 289.218750 1626410879.3412
MEM 289.218750 1626410879.4555
MEM 289.218750 1626410879.5689
MEM 289.218750 1626410879.6826
MEM 289.218750 1626410879.7962
MEM 289.218750 1626410879.9109
MEM 289.218750 1626410880.0292
MEM 289.218750 1626410880.1431
MEM 289.218750 1626410880.2569
MEM 289.218750 1626410880.3702
MEM 289.218750 1626410880.4841
MEM 289.218750 1626410880.5976
MEM 289.218750 1626410880.7112
MEM 289.218750 1626410880.8248
MEM 289.218750 1626410880.9382
MEM 289.218750 1626410881.0518
MEM 289.218750 1626410881.1650
MEM 289.218750 1626410881.2776
MEM 289.218750 1626410881.3911
MEM 289.218750 1626410881.5042
MEM 289.218750 1626410881.6177
MEM 289.218750 1626410881.7301
MEM 289.218750 1626410881.8437
MEM 289.218750 1626410881.9575
MEM 289.218750 1626410882.0710
MEM 289.218750 1626410882.1845
MEM 289.218750 1626410882.2984
MEM 289.218750 1626410882.4117
MEM 289.218750 1626410882.5241
MEM 289.218750 1626410882.6375
MEM 289.218750 1626410882.7507
MEM 289.218750 1626410882.8631
MEM 289.218750 1626410882.9761
MEM 289.218750 1626410883.0881
MEM 289.218750 1626410883.2011
